City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapuskasing,49.4169,-82.4331,22.56,31,5,4.25,CA,1722798402
1,iqaluit,63.7506,-68.5145,5.39,93,100,1.79,CA,1722798404
2,puerto ayora,-0.7393,-90.3518,21.97,87,80,3.58,EC,1722798405
3,hobyo,5.3505,48.5268,24.72,83,99,12.81,SO,1722798406
4,mbamba bay,-11.2833,34.7667,22.02,51,0,2.44,TZ,1722798407
5,port-aux-francais,-49.35,70.2167,1.85,67,31,10.04,TF,1722798345
6,udachny,66.4167,112.4,14.87,54,16,3.49,RU,1722798409
7,tiksi,71.6872,128.8694,10.25,63,100,3.24,RU,1722798149
8,forster,-32.1667,152.5167,7.38,100,100,2.72,AU,1722798412
9,karratha,-20.7377,116.8463,17.94,57,0,5.06,AU,1722798413
10,kavala,40.9397,24.4019,25.31,73,20,0.0,GR,1722798414
11,zeya,53.75,127.2667,17.84,98,100,3.66,RU,1722798416
12,ta`u,-14.2336,-169.5144,26.45,67,100,1.98,AS,1722798417
13,albany,42.6001,-73.9662,27.48,77,64,0.45,US,1722798130
14,wailua homesteads,22.0669,-159.378,26.38,76,20,6.69,US,1722798203
15,pisco,-13.7,-76.2167,17.03,82,100,2.57,PE,1722798241
16,nar'yan-mar,67.6713,53.087,8.34,76,100,6.8,RU,1722798421
17,papao,-17.75,-149.55,25.82,69,46,5.56,PF,1722798423
18,moanda,-1.5575,13.2178,27.35,51,100,1.63,GA,1722798424
19,klyuchi,52.2667,79.1667,18.98,77,100,1.77,RU,1722798425
20,dubinino,55.6192,89.0911,15.52,94,100,2.18,RU,1722798426
21,grytviken,-54.2811,-36.5092,-1.64,96,100,3.93,GS,1722798136
22,urengoy,65.9667,78.3667,14.32,63,100,7.66,RU,1722798429
23,kavieng,-2.5744,150.7967,26.9,79,100,3.31,PG,1722798424
24,aroma,15.8167,36.1333,31.46,51,77,2.84,SD,1722798431
25,arkhangel'sk,64.5401,40.5433,15.06,82,20,4.0,RU,1722798432
26,machali,-34.1833,-70.6667,14.45,70,100,0.98,CL,1722798313
27,ribeira grande,38.5167,-28.7,27.22,78,40,4.12,PT,1722798399
28,blackmans bay,-43.0167,147.3167,7.36,78,85,1.34,AU,1722798435
29,hermanus,-34.4187,19.2345,8.22,58,98,5.31,ZA,1722798436
30,polyarnyy,69.1989,33.4478,10.07,85,0,2.33,RU,1722798437
31,jining,35.405,116.5814,26.8,94,100,2.35,CN,1722798438
32,yurty,56.0498,97.6348,11.73,87,5,1.08,RU,1722798439
33,targuist,34.9377,-4.3186,25.4,45,0,1.36,MA,1722798440
34,acarau,-2.8856,-40.12,28.63,59,0,9.06,BR,1722798441
35,kodiak,57.79,-152.4072,11.73,94,100,5.66,US,1722798199
36,moree,-29.4667,149.85,9.98,66,100,4.17,AU,1722798444
37,yellowknife,62.456,-114.3525,20.79,60,40,3.13,CA,1722798147
38,tamanrasset,22.785,5.5228,33.95,6,0,2.57,DZ,1722798446
39,vakarai,55.6035,23.8213,17.29,77,36,1.44,LT,1722798447
40,edinburgh of the seven seas,-37.0676,-12.3116,13.16,82,43,13.57,SH,1722798344
41,whitehorse,60.7161,-135.0538,19.5,43,5,0.96,CA,1722798449
42,lethem,3.3803,-59.7968,30.07,65,100,0.63,GY,1722798450
43,adamstown,-25.066,-130.1015,21.41,76,100,6.0,PN,1722798451
44,zelenogorskiy,55.0333,87.0,16.76,99,100,1.65,RU,1722798452
45,puerto natales,-51.7236,-72.4875,1.25,93,75,1.54,CL,1722798453
46,cambria,35.5641,-121.0808,34.64,67,39,3.57,US,1722798454
47,kasangulu,-4.5911,15.1708,24.52,46,96,2.88,CD,1722798455
48,hilo,19.7297,-155.09,23.1,98,100,1.54,US,1722798456
49,lebu,-37.6167,-73.65,10.52,90,100,11.15,CL,1722798434
50,jamestown,42.097,-79.2353,28.29,49,20,4.12,US,1722798200
51,klaksvik,62.2266,-6.589,11.51,98,100,14.35,FO,1722798460
52,ujar,40.519,47.6542,26.1,52,1,3.96,AZ,1722798461
53,bethel,41.3712,-73.414,27.89,72,75,4.12,US,1722798423
54,port elizabeth,-33.918,25.5701,12.0,71,20,10.8,ZA,1722798188
55,port lincoln,-34.7333,135.8667,10.62,84,89,1.16,AU,1722798346
56,minab,27.1467,57.0801,32.16,73,76,2.78,IR,1722798438
57,new norfolk,-42.7826,147.0587,7.49,86,83,1.4,AU,1722798306
58,bamboo flat,11.7,92.7167,26.05,89,75,0.51,IN,1722797921
59,sovetskiy,61.3614,63.5842,15.11,92,99,1.05,RU,1722798468
60,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,100,20,2.0,RU,1722798469
61,levuka,50.1834,-105.4011,24.35,38,100,5.76,CA,1722798470
62,ust'-barguzin,53.45,108.9833,13.67,89,48,0.75,RU,1722798471
63,el tigre,8.8875,-64.2454,32.63,45,97,3.74,VE,1722798472
64,san antonio de pale,-1.4014,5.6325,22.32,73,100,4.14,GQ,1722798473
65,brzeg,50.8608,17.4674,19.14,85,100,2.15,PL,1722798474
66,isafjordur,66.0755,-23.124,12.02,71,40,7.2,IS,1722798426
67,waitangi,-43.9535,-176.5597,5.46,89,100,0.45,NZ,1722798476
68,georgetown,5.4112,100.3354,25.75,83,20,2.24,MY,1722798249
69,college,64.8569,-147.8028,17.2,68,20,2.06,US,1722798313
70,saipan,15.1355,145.701,27.39,83,75,4.12,MP,1722798319
71,caister-on-sea,52.6481,1.7265,18.87,67,100,3.04,GB,1722798481
72,thompson,55.7435,-97.8558,19.09,42,75,3.6,CA,1722798209
73,oum hadjer,13.2954,19.6966,21.86,95,100,7.57,TD,1722798483
74,bredasdorp,-34.5322,20.0403,6.87,71,26,3.74,ZA,1722798484
75,longyearbyen,78.2186,15.6401,11.91,76,0,5.66,SJ,1722798401
76,east london,-33.0153,27.9116,15.04,60,100,11.01,ZA,1722798488
77,vadso,70.0744,29.7487,11.09,93,100,6.69,NO,1722798432
78,tangalle,6.024,80.7911,27.09,82,100,5.06,LK,1722798490
79,queenstown,-31.8976,26.8753,8.42,75,100,3.31,ZA,1722798491
80,kayes,14.0,-11.0,26.22,81,97,3.86,ML,1722798492
81,ariquemes,-9.9133,-63.0408,37.78,23,18,2.08,BR,1722798493
82,ancud,-41.8697,-73.8203,8.47,92,100,3.71,CL,1722798355
83,anadyr,64.75,177.4833,3.89,93,100,9.0,RU,1722798337
84,lamarque,-39.423,-65.7021,17.98,27,100,7.83,AR,1722798497
85,alaghsas,17.0187,8.0168,32.42,45,22,4.28,NE,1722798498
86,laguna,38.421,-121.4238,30.96,33,0,2.57,US,1722798365
87,hamilton,39.1834,-84.5333,32.27,53,20,1.34,US,1722798174
88,atafu village,-8.5421,-172.5159,27.74,80,62,6.38,TK,1722798501
89,aasiaat,68.7098,-52.8699,4.53,87,88,1.98,GL,1722798502
90,sarlat-la-caneda,44.889,1.2166,21.72,68,5,2.08,FR,1722798503
91,port alfred,-33.5906,26.891,12.88,67,100,3.58,ZA,1722798398
92,invercargill,-46.4,168.35,3.9,94,87,1.34,NZ,1722798505
93,agnibilekrou,7.1344,-3.2047,24.24,80,100,1.22,CI,1722798506
94,west island,-12.1568,96.8225,24.99,88,75,7.72,CC,1722798507
95,bilibino,68.0546,166.4372,6.49,72,70,1.36,RU,1722798508
96,n'zeto,-7.2312,12.8666,20.63,85,100,3.8,AO,1722798509
97,yasnyy,51.0333,59.8742,18.03,66,1,2.77,RU,1722798510
98,saint-philippe,-21.3585,55.7679,17.77,77,41,3.48,RE,1722798511
99,cannonvale,-20.2833,148.7,19.66,73,87,4.73,AU,1722798512
100,ti port-de-paix,19.9333,-72.8333,30.71,71,99,10.36,HT,1722798513
101,tazovsky,67.4667,78.7,8.7,65,89,6.33,RU,1722798514
102,loukhi,66.0764,33.0381,12.57,79,2,2.2,RU,1722798516
103,ocos,14.5094,-92.1933,32.1,77,84,2.37,GT,1722798519
104,zabaykal'sk,49.6333,117.3167,16.47,90,100,5.08,RU,1722798520
105,olonkinbyen,70.9221,-8.7187,6.17,96,100,3.33,SJ,1722798521
106,ilulissat,69.2167,-51.1,6.01,93,25,2.06,GL,1722798522
107,jieshi,22.8134,115.8257,28.56,82,89,1.83,CN,1722798523
108,bilgoraj,50.5411,22.722,21.87,57,100,1.55,PL,1722798524
109,cabo san lucas,22.8909,-109.9124,32.49,68,56,1.79,MX,1722798512
110,san juan de miraflores,-12.1629,-76.9635,18.29,76,42,3.51,PE,1722798526
111,castillos,-34.1667,-53.8333,14.04,51,100,2.97,UY,1722798528
112,san pedro pochutla,15.7333,-96.4667,32.62,57,91,2.73,MX,1722798467
113,mossel bay,-34.1831,22.146,9.73,71,9,6.75,ZA,1722798530
114,al muwayh,22.4333,41.7583,33.05,31,100,8.61,SA,1722798531
115,sisimiut,66.9395,-53.6735,8.75,76,77,3.7,GL,1722798532
116,yamada,39.4667,141.95,22.39,96,35,1.01,JP,1722798385
117,springs,-26.25,28.4,16.17,57,100,4.3,ZA,1722798352
118,vilyuchinsk,52.9306,158.4028,9.15,83,4,0.83,RU,1722798278
119,margaret river,-33.95,115.0667,15.29,67,76,6.81,AU,1722798537
120,coyuca de benitez,17.0333,-100.0667,30.59,53,33,3.94,MX,1722798538
121,walvis bay,-22.9575,14.5053,13.38,68,1,8.73,NA,1722798539
122,teshi old town,5.5836,-0.1072,25.27,76,100,4.1,GH,1722798540
123,xining,36.6167,101.7667,13.33,81,52,1.23,CN,1722798541
124,santa rosalia,27.3167,-112.2833,31.92,45,87,2.67,MX,1722798542
125,katabu,-4.9333,122.5167,22.27,94,23,1.43,ID,1722798543
126,hawaiian paradise park,19.5933,-154.9731,23.79,91,100,1.54,US,1722798395
127,papatowai,-46.5619,169.4708,6.18,91,86,3.1,NZ,1722798408
128,lyubotyn,49.95,35.9667,17.56,86,100,4.35,UA,1722798546
129,la crosse,43.8014,-91.2396,29.77,63,0,3.09,US,1722798547
130,tura,25.5198,90.2201,24.01,98,100,1.84,IN,1722798430
131,la sarre,48.8002,-79.1996,20.78,46,85,3.17,CA,1722798549
132,vitorino freire,-4.0667,-45.1667,35.55,21,3,3.08,BR,1722798447
133,colonia,50.9333,6.95,19.46,71,0,1.54,DE,1722798512
134,bothaville,-27.3887,26.617,12.3,21,11,6.58,ZA,1722798292
135,lichuan,30.3,108.85,18.97,98,52,0.89,CN,1722798553
136,la concordia,13.1953,-86.1667,24.98,78,85,2.17,NI,1722798554
137,stanley,54.868,-1.6985,14.96,84,20,2.57,GB,1722798555
138,kristiansund,63.1115,7.732,16.3,87,75,1.54,NO,1722798556
139,ushuaia,-54.8,-68.3,-1.41,77,11,0.82,AR,1722798558
140,leava,-14.3,-178.1667,26.47,77,73,2.61,WF,1722798503
141,uturoa,-16.7333,-151.4333,24.8,71,12,7.89,PF,1722798560
142,hammerfest,70.6634,23.6821,22.25,49,0,3.6,NO,1722798561
143,vodice,43.7608,15.7828,29.98,42,6,5.82,HR,1722798562
144,kiunga,-6.1219,141.2906,22.29,98,100,1.6,PG,1722798563
145,svobodnyy,51.4,128.1333,18.6,98,100,8.51,RU,1722798564
146,talnakh,69.4865,88.3972,8.57,70,0,5.64,RU,1722798341
147,egilsstadir,65.2653,-14.3948,11.59,77,100,4.5,IS,1722798566
148,el granada,37.5027,-122.4694,18.77,76,100,7.72,US,1722798567
149,northam,51.0333,-4.2167,17.65,84,100,4.92,GB,1722798568
150,leo,11.1,-2.1,23.7,88,100,2.01,BF,1722798533
151,holualoa,19.6228,-155.9522,23.64,90,75,2.57,US,1722798570
152,rocky mountain house,52.3668,-114.9188,23.47,52,84,4.3,CA,1722798571
153,qionghai,19.2425,110.4642,24.69,97,10,1.01,CN,1722798573
154,fisterra,42.9049,-9.2629,25.01,87,0,7.7,ES,1722798574
155,mombetsu,44.3525,143.3525,14.81,95,100,1.15,JP,1722798575
156,alvesta,56.8993,14.5556,16.38,97,100,2.06,SE,1722798576
157,pilar,-9.5972,-35.9567,23.96,83,55,3.96,BR,1722798577
158,malhargarh,24.2833,74.9833,24.23,95,100,8.71,IN,1722798578
159,la asuncion,11.0333,-63.8628,32.85,58,97,7.72,VE,1722798579
160,darovskoy,58.77,47.9564,14.81,96,0,1.82,RU,1722798580
161,vangviang,18.9333,102.45,21.5,100,100,0.88,LA,1722798581
162,cockburn town,21.4612,-71.1419,28.24,82,100,9.2,TC,1722798582
163,anloga,5.7947,0.8973,25.32,77,86,4.33,GH,1722798584
164,sebezh,56.2955,28.4654,15.86,82,78,1.58,RU,1722798585
165,tolanaro,-25.0319,46.9987,18.47,90,4,2.91,MG,1722798437
166,iskateley,67.6803,53.1512,8.35,76,100,6.76,RU,1722798517
167,arraial do cabo,-22.9661,-42.0278,24.92,69,0,4.63,BR,1722798541
168,prokop'yevsk,53.9059,86.719,15.5,94,2,2.47,RU,1722798589
169,punta arenas,-53.15,-70.9167,2.06,87,75,3.09,CL,1722798457
170,st. john's,47.5649,-52.7093,22.63,88,100,6.17,CA,1722798591
171,blackfoot,43.1905,-112.345,30.23,24,1,7.4,US,1722798592
172,al qubbah,32.7616,22.2424,26.18,32,0,3.95,LY,1722798593
173,pangoa,-12.1167,-73.0,31.76,38,45,2.33,PE,1722798594
174,nova vicosa,-17.8919,-39.3719,24.96,71,0,3.91,BR,1722798336
175,lubang,13.8584,120.124,28.96,74,100,5.64,PH,1722798490
176,luderitz,-26.6481,15.1594,13.74,80,100,3.7,NA,1722798513
177,sinabang,2.4803,96.3801,26.32,83,100,1.45,ID,1722798462
178,kendari,-3.945,122.4989,22.52,96,77,0.97,ID,1722798600
179,quezon,7.7303,125.0989,21.53,99,100,0.45,PH,1722798601
180,guarda,40.5373,-7.2658,24.57,29,0,5.1,PT,1722798602
181,kamloops,50.6665,-120.3192,33.77,22,7,0.64,CA,1722798603
182,avarua,-21.2078,-159.775,24.03,69,13,3.09,CK,1722798553
183,fort st. john,56.2499,-120.8529,11.94,87,100,5.14,CA,1722798605
184,kaihua,23.3687,104.28,18.57,96,100,2.08,CN,1722798606
185,vorgashor,67.5833,63.95,9.28,62,100,5.89,RU,1722798605
186,portland,45.5234,-122.6762,27.54,48,0,0.89,US,1722798507
187,vila franca do campo,37.7167,-25.4333,25.23,70,37,2.11,PT,1722798609
188,delmas,18.5447,-72.3028,35.4,41,40,7.2,HT,1722798611
189,tan an,10.5333,106.4167,25.01,94,100,2.03,VN,1722798612
190,bafoulabe,13.8065,-10.8321,26.39,85,100,2.97,ML,1722798613
191,rawlins,41.7911,-107.2387,27.94,24,100,8.23,US,1722798373
192,katsuura,35.1333,140.3,24.27,90,70,1.43,JP,1722798405
193,nogliki,51.8333,143.1667,8.75,86,100,3.41,RU,1722798406
194,coquimbo,-29.9533,-71.3436,14.85,82,75,4.12,CL,1722798371
195,minas de marcona,-15.2119,-75.1103,17.42,53,0,6.25,PE,1722798453
196,burang,30.25,81.1667,11.31,83,100,1.85,CN,1722798621
197,alice springs,-23.7,133.8833,7.75,93,40,1.54,AU,1722798622
198,nova sintra,14.8667,-24.7167,27.25,77,100,2.37,CV,1722798520
199,port mathurin,-19.6833,63.4167,22.11,74,13,6.57,MU,1722798476
200,zapata,26.9073,-99.2714,36.06,34,0,2.06,US,1722798625
201,aldama,22.9167,-98.0667,31.75,43,9,1.53,MX,1722798626
202,bordighera,43.7806,7.6645,28.1,85,99,1.79,IT,1722798627
203,utrik,11.2278,169.8474,28.35,77,76,6.08,MH,1722798620
204,lionel town,17.8101,-77.2406,32.72,63,9,6.34,JM,1722798629
205,port augusta,-32.5,137.7667,10.41,85,100,0.97,AU,1722798630
206,helena valley west central,46.6629,-112.0604,25.6,46,40,5.14,US,1722798631
207,zaozersk,69.4005,32.4476,8.22,96,67,3.28,RU,1722798633
208,camenca,48.0319,28.6978,19.71,63,100,1.85,MD,1722798634
209,fort-shevchenko,44.5086,50.263,28.6,50,0,4.29,KZ,1722798633
210,glendive,47.1053,-104.7125,28.79,42,0,5.14,US,1722798636
211,taltal,-25.4,-70.4833,16.42,70,30,2.57,CL,1722798617
212,keflavik,64.0049,-22.5624,13.24,67,0,5.14,IS,1722798400
213,vikulovo,56.8167,70.6107,15.03,94,97,2.24,RU,1722798639
214,chibougamau,49.9168,-74.3659,16.79,72,100,4.12,CA,1722798396
215,kayangel,8.0823,134.7173,28.48,76,100,4.46,PW,1722798641
216,praia da vitoria,38.7333,-27.0667,27.64,79,40,3.82,PT,1722798441
217,yambio,4.5721,28.3955,21.04,95,99,1.12,SS,1722798643
218,putina,-15.4667,-69.4333,10.82,37,2,3.73,PE,1722798645
219,ellsworth,44.5434,-68.4195,25.65,80,0,0.0,US,1722798646
220,maryville,35.7565,-83.9705,30.62,65,40,3.6,US,1722798647
221,chonchi,-42.6128,-73.8092,9.51,98,100,1.52,CL,1722798645
222,hirara,24.8,125.2833,29.4,77,18,5.35,JP,1722798649
223,altay,47.8667,88.1167,18.84,32,0,3.12,CN,1722798542
224,gagarin,55.5529,34.9954,14.39,91,0,2.39,RU,1722798651
225,lagunillas,10.1301,-71.2595,31.23,67,0,4.44,VE,1722798652
226,puerto armuelles,8.2833,-82.8667,27.83,83,100,1.34,PA,1722798653
227,ojinaga,29.5667,-104.4167,35.53,24,0,4.12,MX,1722798654
228,shingu,33.7333,135.9833,25.27,92,0,1.17,JP,1722798588
229,luganville,-15.5333,167.1667,21.59,72,95,4.73,VU,1722798657
230,kuqa,41.7278,82.9364,27.22,36,99,1.75,CN,1722798658
231,opuwo,-18.0607,13.84,20.36,30,0,2.83,NA,1722798660
232,kuanda,56.3161,116.0806,11.34,95,15,0.74,RU,1722798661
233,aquitania,5.5197,-72.8875,16.23,68,100,3.15,CO,1722798662
234,sena madureira,-9.0656,-68.6569,35.04,34,100,0.24,BR,1722798663
235,rochefort-du-gard,43.9765,4.6902,27.76,48,0,8.75,FR,1722798664
236,ballito,-29.539,31.2144,21.08,64,100,7.2,ZA,1722798665
237,bozeman,45.6796,-111.0386,25.62,38,75,2.06,US,1722798666
238,lazaro cardenas,17.9583,-102.2,30.96,59,98,3.41,MX,1722798667
239,primero de enero,21.9469,-78.4283,33.87,50,93,3.63,CU,1722798668
240,kerikeri,-35.2268,173.9474,9.95,89,96,2.24,NZ,1722798669
241,ban phan don,17.1427,102.9726,23.65,91,72,1.6,TH,1722798670
242,san andres,12.5847,-81.7006,32.01,70,20,4.12,CO,1722798671
243,stara vyzhivka,51.4376,24.44,19.91,49,97,2.15,UA,1722798672
244,ust-nera,64.5667,143.2,9.09,80,28,1.9,RU,1722798673
245,alotau,-10.3069,150.4462,22.47,97,100,2.35,PG,1722798504
246,rodionovo-nesvetaiskoye,47.6,39.7,25.12,54,95,2.15,RU,1722798675
247,qaqortoq,60.7167,-46.0333,8.74,71,0,3.3,GL,1722798676
248,sodankyla,67.4167,26.6,16.09,72,14,1.91,FI,1722798677
249,stjordalshalsen,63.4681,10.9262,18.0,82,40,4.63,NO,1722798678
250,arivonimamo,-19.0167,47.1833,11.03,60,0,1.65,MG,1722798680
251,greiz,50.65,12.2,18.57,73,100,2.89,DE,1722798681
252,naze,28.3667,129.4833,27.57,83,22,5.35,JP,1722798682
253,fort mcmurray,56.7268,-111.381,22.73,43,0,3.6,CA,1722798683
254,rongelap,11.1635,166.8941,28.38,78,77,4.2,MH,1722798684
255,panamaram,11.7404,76.0738,19.9,99,89,1.14,IN,1722798685
256,shetpe,44.1667,52.1167,26.73,44,100,4.3,KZ,1722798686
257,iquique,-20.2208,-70.1431,18.02,76,16,2.84,CL,1722798112
258,as sulayyil,20.4607,45.5779,37.14,14,100,3.67,SA,1722798688
259,rio grande,-32.035,-52.0986,13.3,95,100,2.25,BR,1722798689
260,karymskoye,51.6167,114.35,12.54,93,0,0.95,RU,1722798691
261,constantia,44.1833,28.65,22.38,58,12,3.12,RO,1722798422
262,yatou,37.15,122.3833,25.34,86,99,4.53,CN,1722798693
263,conduaga,8.862,117.4893,25.97,87,100,1.04,PH,1722798694
264,beyneu,45.3167,55.2,32.87,22,72,3.58,KZ,1722798684
265,svilengrad,41.7667,26.2,22.59,58,0,1.34,BG,1722798696
266,piti village,13.4626,144.6933,25.2,92,40,1.54,GU,1722798697
267,waingapu,-9.6567,120.2641,22.74,90,12,3.32,ID,1722798698
268,morondava,-20.2833,44.2833,21.93,75,0,4.19,MG,1722798699
269,chamical,-30.36,-66.314,20.94,25,5,7.33,AR,1722798700
270,miles city,46.4083,-105.8406,31.54,42,0,0.0,US,1722798701
271,hazaribagh,23.9833,85.35,23.86,89,21,3.17,IN,1722798702
272,san patricio,28.017,-97.5169,33.54,40,2,3.29,US,1722798703
273,chebba,35.2372,11.115,28.45,61,0,9.5,TN,1722798704
274,kununurra,-15.7667,128.7333,16.99,88,0,1.03,AU,1722798705
275,mili,6.0815,171.735,28.63,77,55,5.56,MH,1722798706
276,sidi akkacha,36.4647,1.3026,35.16,57,0,3.54,DZ,1722798707
277,bako,5.7833,36.5667,19.63,70,38,1.56,ET,1722798708
278,tofol,5.3248,163.0078,28.61,77,15,5.37,FM,1722798625
